"Data Release 11
1 June 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rating,,Software Age,Sizing,,,,Effort,,,Productivity,,,Other Metrics,,Schedule,,,,,,,,,,,Quality,,,,Grouping Attributes,,,,,,,,,,,,Architecture,,,,,,,Documents & Techniques,,,,,,,,,,,,,,,,,,Project Attributes,,,1st Platform Attributes,,,,,,,,,,2nd Platform Attributes,,,,,,,,Project Attributes,,,Product Attributes,,,,,Effort Attributes,,,,,,Size Attributes,,,,,,,,,,,,Size Other than FSM,,
Project ID,Data Quality Rating,UFP rating,Year of Project,Count Approach,Functional Size,Adjusted Function Points,Value Adjustment Factor,Normalised Work Effort Level 1,Normalised Work Effort,Summary Work Effort,Normalised Level 1 PDR (ufp),Normalised PDR (ufp),Pre 2002 PDR (afp),Defect Density,Speed of Delivery,Project Elapsed Time,Project Inactive Time,Implementation Date,Project Activity Scope,Effort Plan,Effort Specify,Effort Design,Effort Build,Effort Test,Effort Implement,Effort Unphased,Minor Defects,Major Defects,Extreme Defects,Total Defects Delivered,Development Type,Organisation Type,Business Area Type,Application Type,Software Process CMM,Software Process CMMI,Software Process SPICE,Software Process ISO,Software Process TICKIT,Software Process Other,Package Customisation,Degree of Customisation,Architecture,Client Server?,Client Roles,Server Roles,Type of Server,Client/Server Description,Web Development,Development Techniques,JAD Technique Used,Prototyping Technique Used,Planning Documents,Specification Documents,Specification Techniques,Design Documents,Design Techniques,Build Products,Build Activity,Test Documents,Test Activity,Implement Documents,Implement Activity,Functional Sizing Technique,FP Standard,FP Standards All,Reference Table Approach,Development Platform,Language Type,Primary Programming Language,1st Hardware,1st Language,1st Operating System,Integrated Development Environment,1st Debugging Tool,1st Data Base System,1st Component Server,1st Web Server,1st Message Server,1st Other Platform,2nd Hardware,2nd Language,2nd Operating System,2nd Data Base System,2nd Component Server,2nd Web Server,2nd Message Server,2nd Other Platform,CASE Tool Used,Used Methodology,How Methodology Acquired,User Base - Business Units,User Base - Locations,User Base - Distinct Users,User Base - Concurrent Users,Intended Market,Recording Method,Resource Level,Max Team Size,Average Team Size,Ratio of Project Work Effort to Non-Project Activity,Percentage of Uncollected Work Effort,Input count,Output count,Enquiry count,File count,Interface count,Added count,Changed count,Deleted count,COSMIC Entry,COSMIC Exit,COSMIC Read,COSMIC Write,Lines of Code,Lines of Code not Statements,Other Size Units
10001,D,A,1998,NESMA,237,254,,1850,1850,1850,7.8,7.8,7.3,21.1,7.9,6,0,Oct-1998,Planning;Specification;Build;Test;Implement;,100,400,,1000,200,150,0,,5,,5,New Development,Recreation & Personnel Services;,Sales;,Transaction/Production System;,,,,,,,No,,Stand alone,No,,,,,,Data Modelling;Prototyping;,,Yes,,,,,,,,,,,,Wholly manual;,NESMA,NESMA;,Combined all tables into a single file;,MR,4GL,ORACLE,SUN;,ORACLE;,UNIX;,,No,ORACLE;,,,,,,,,,,,,,No,No,,1,3,,2,Outsourced for internal business unit;,Staff hours (recorded),1,5,5,,,60,110,10,42,15,237,,,,,,,,,
10011,B,A,1996,IFPUG,443,443,,856,856,796,1.9,1.9,1.8,,,2.6,0,20-Jun-96,Planning;Specification;Build;Test;,,,,,,,796,,,,,New Development,Construction;,don't know;,Stock control & order processing;,,,,,,,No,,Multi-tier / Client server,Yes,,,,C/S;,,WaterFall;,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,Multi,4GL,Access,PC;,ACCESS;,Windows 95;,,,ACCESS;,,,,,,,,,,,,,No,Don't Know,,,,,,,Staff hours (derived),1,,,100%,under 5%,,,,,,,,,,,,,,,
10012,B,A,2002,IFPUG,76,74,0.98,1100,1100,1100,14.5,14.5,14.9,,,,,Mar-2002,,,,,,,,1100,,,,,Enhancement,Billing;,,Billing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.1,IFPUG 4.1;,,,3GL,COBOL,,COBOL II;,,,,,,,,,,,,,,,,,,Yes,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,
10014,B,A,2004,IFPUG,3,3,1.09,28,28,28,9.3,9.3,9.3,,,,0,,,,,,,,,28,,,,,Enhancement,,,,,,,,,,,,Client server,Yes,,,,C/S;,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,,,,,,,,,,,,C/S;,,,,,,,,,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,
10015,B,A,2000,IFPUG,382,478,1.25,,23913,22000,,62.6,46.0,,,3,,Apr-2000,Specification;Build;Test;Implement;,,,,,,,,,,,,Enhancement,Wholesale & Retail Trade;,,Management Information System;,,,,,,,No,,Client server,Yes,,,,,,,,,,,,,,,,,,,,Supported by a tool;,IFPUG 4,IFPUG 4;,Counted if maintained through EI or another system,MF,3GL,COBOL,Mainframe;,COBOL;EXYTREVE;COOL:GEN;,Mainframe;,,,INTERACTIVE;,,,,,,,,,,,,,Yes,Yes,,,,,,,Staff hours (recorded),4,,,,,186,7,172,7,10,35,347,0,,,,,,,
10026,B,A,2000,IFPUG,620,620,,18160,18160,18160,29.3,29.3,29.3,,,7,0,30-Jun-00,Planning;Specification;Build;Test;,,,,,,,18160,,,,,New Development,Insurance;,don't know;,other: Sales contact management;,,,,,,,No,,,Don't Know,,,,,,WaterFall;,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,MF,3GL,Java,MF;,JAVA;,Soralis;Win95/98;,,,IMS;DB2;,,,,,,,,,,,,,No,Don't Know,,,,,,,Staff hours (recorded),1,,,100%,under 5%,125,159,221,73,42,620,,,,,,,,,
10029,B,,2004,COSMIC,297,297,,8186,8186,7449,27.6,27.6,25.1,,,,,01-Jun-2004,,0,0,433,1932,4324,760,0,,,,,New Development,Banking;,,Financial transaction process/accounting;,,"CMMI Level 1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,Wholly manual;,COSMIC 3.0,COSMIC 3.0;,,MF,3GL,COBOL,,COBOL;,IBM/zOS;,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,
